Filename;Name;Version;Author URL;Author Name;Description
CRI_Middleware_ADX_Tools_v1.14_Win32.rar;ADX Tools;1.14;http://www.cri-mw.com/;CRI Middleware;The CRI Middleware ADX SDK allow you to handle AHX and ADX files. This is the official SDK. Tested with <strong>Shenmue II</strong> and works fine. <strong>Windows</strong> binaries only.
CRI_Middleware_ADX_Tools_v1.15_Linux_Win32.rar;ADX Tools;1.15;http://www.cri-mw.com/;CRI Middleware;The CRI Middleware ADX SDK allow you to handle AHX and ADX files. This is the official SDK. Not tested with any <strong>Shenmue</strong> episode. <strong>Windows</strong> and <strong>GNU/Linux</strong> binaries included.
adxutil_221.zip;ADXUtil;2.21;;"Verdi&nbsp;Kasugano";This program can handle AFS and ADX files.
afs2wav_10.zip;AFS2WAV;1.0;http://sbibuilder.shorturl.com/;SiZiOUS;AFS2WAV is a AFS to WAV converter. It's a GUI of the <strong>ADXUtil</strong> tool from <strong>Verdi Kasugano</strong>.
AFSExplorer_3_7.rar;AFS Explorer;3.7;;DTE-NG;"Allow you to patch AFS file much faster than <a href=""#afs"">AFS Utils</a> but have some limitation if the patched file is too big."
AFSPacker-v1.1.7z;AFS Packer;1.1;http://pacochan.tales-tra.com/programas/afs-packer/;PacoChan;"AFS Packer can extract the files of an AFS archive to a folder, or
generate a new AFS archive with the files inside a folder. The AFS format
is used in many games. Many of them from Sega. Console version only. Requires <a href=""http://www.microsoft.com/downloads/details.aspx?displaylang=en&FamilyID=333325fd-ae52-4e35-b531-508d977d32a6"" target=""_blank"">.NET Framework v3.5</a>."
am2drvext.zip;AM2 DTPK sound driver extractor;0.00;http://snesmusic.org/hoot/kingshriek/ssf/;kingshriek;"Extract the AM2 DTPK sound driver. Requires <a href=""http://www.python.org/"" target=""_blank"">Python framework.</a>"
binhack32_1.0.0.3-Win32_Linux.zip;BinHack 32bits Clone;1.0.0.3;http://www.metagames-eu.com/forums/dreamcast/binhack32-un-clone-de-binhack-en-32bit-122802.html;FamilyGuy;This is a 32bits BINHACK clone, designed to hack the IP.BIN bootstrap and the 1ST_READ.BIN Dreamcast binary. <strong>Windows</strong> and <strong>Linux</strong> binaries and complete <strong>source code</strong> included.
Dark_Falaz-Dreamcast_Tool_Kit.7z;Dark Falaz Tools Kit;2007-10-16;;Dark Falaz;"Various Dreamcast tools made by Dark Falaz."
demul-0.57-wip.7z;DEmul Emulator;0.57;http://demul.emulation64.com/;DEmul Team;"Another great <strong>Dreamcast Emulator</strong>, which supports Shenmue very well. You'll need a <strong>Dreamcast BIOS</strong> in order to run it (Don't ask here for this)."
dreamexplorer-0.8.5-full-dj3.7z;Dream Explorer;0.8.5;http://blueswirl.shorturl.com/;Speud;"<strong>VMU Tool</strong> (a.k.a <strong>Dream Explorer</strong>) is an application for the <strong>Dreamcast</strong> that allows you to explore the content of your VMU, PC, and CD/GD, and open their files in the numerous bundled tools. Full Selfboot DiscJuggler image with ~5000 saves included."
dtpkext.zip;DTPK driver data extractor;0.00;http://snesmusic.org/hoot/kingshriek/ssf/;kingshriek;"Extract DTPK driver data. Requires <a href=""http://www.python.org/"" target=""_blank"">Python framework.</a>"
dsfdtpk.zip;DTPK to DSF converter;0.01;http://snesmusic.org/hoot/kingshriek/ssf/;kingshriek;"Converts AMD2 DTPK sound format to DSF. Requires <a href=""http://www.python.org/"" target=""_blank"">Python framework.</a>"
jc-gdiexplorer-v1.4b-fixed.zip;GDI Explorer;1.4b-fixed;http://japanese-cake.livejournal.com/;japanese_cake;"GDI Explorer is a small tool that enables you to extract data from *.gdi files. Requires <a href=""http://www.microsoft.com/downloads/details.aspx?displaylang=en&FamilyID=333325fd-ae52-4e35-b531-508d977d32a6"" target=""_blank"">.NET Framework v3.5</a>."
humans_dissecter_14.rar;Humans Dissecter;1.4;;SHENTRAD;Extract every sections of a PAKS file contained in the HUMANS.AFS archive.
Kakuzawa-Shenmue_Tools.7z;Kakuzawa Tools;2012-02-07;http://www.shenmuedojo.net/forum/viewtopic.php?f=37&t=44271;Kakuzawa;Contains 3 tools made by Kakuzawa: a save editor, a file swapper and a snapshots extractor (for the Xbox). Requires J2SE Runtime.
mpipatch-1.0.1.14.zip;MAPINFO.BIN Patcher;1.0.1.14;;whiteShadow;Quickly patch a map information file with data from other map information file, for map switching.
nullDC_103.rar;nullDC Emulator;1.0.3;http://code.google.com/p/nulldc/;nullDC Team;Official release of the <strong>nullDC Dreamcast Emulator</strong>. You'll need a <strong>Dreamcast BIOS</strong> in order to run it (Don't ask here for this).
nullDC-1.0.4-r136-full.7z;nullDC Emulator;1.0.4 R136;http://code.google.com/p/nulldc/;nullDC Team;Lastest official release of the <strong>nullDC Dreamcast Emulator</strong>.<br/>You still need a <strong>Dreamcast BIOS</strong> in order to run it (Don't ask here for this, again). Untested version with Shenmue, but should work.
nullDC_104_r24-source.zip;nullDC Emulator (Source);1.0.4 R24;http://code.google.com/p/nulldc/;nullDC Team;"C/C++ source code of the <strong>nullDC Dreamcast Emulator</strong>. Dumped from the <a target=""_blank"" href=""http://code.google.com/p/nulldc/source/list/"">SVN</a> on 2010-05-19."
makaron_releases-deunan.7z;Makaron Emulator;T12/5;http://dknute.livejournal.com/;Deunan;This package contains all released version of the Makaron emulator, from T8 WIP to T12/5, which is the latest in date.
yazgoo-mt5_extraction_tools-20100217.zip;MT5 Extraction Tools;2010-02-17;http://abdessel.iiens.net/dreamcast/;yazgoo;This is the yazgoo tools pack containing a 3D meshes models extractor from MT5 files.
Photoshop_Plugins_8.23.1101.1715.exe;NVIDIA Photoshop Plug-ins;8.23.1101.1715;http://developer.nvidia.com/object/photoshop_dds_plugins.html;NVIDIA;This is a plug-ins pack containing a <strong>DirectDraw Surface</strong> (DDS) converter plug-in for <strong>Adobe Photoshop</strong>.
pvr2png.zip;PVR to PNG;1.01;;Gzav;Convert any PowerVR texture to the PNG format. This tool keep the alpha-channel.
pvrdis-b2-1.0.1.173.zip;PVR Dissector;1.0.1.173;;whiteShadow;Extract every PowerVR texture from generic game datas.
pvrx2png-mingw-0.1-bin.zip;PVR-X to PNG;0.1;http://sbibuilder.shorturl.com/;SiZiOUS;"Convert any PVR-X (DirectDraw Surface embedded in PowerVR texture) to the PNG format. This tool keep the alpha-channel. Source is available on the <a href=""#source"">Shenmue Translation Pack SVN</a>."
Sega_PVR_Tools_Package_R11b_Win32.zip;Sega PVR Tools;R11b;http://www.sega.com/;Sega;This package contains every tools made by Sega to handle Dreamcast PVR textures files.
Sega_Stream_Extractor_v1.0_by_SWAT.7z;Sega Stream Extractor;1.0;http://www.dc-swat.net.ru/;SWAT;Extract Stream from generic game datas.
Selfboot_DATA_Pack_v1.4_by_FamilyGuy.rar;Selfboot Data/Data Pack ;1.4;http://www.assemblergames.com/forums/showthread.php?41388-Selfboot-45000LBA-DATA-DATA-Pack-v1-4-All-32bit-edition;FamilyGuy;This pack allows you to create auto-boot CD-R images for your Dreamcast. With this environement, you don't have to use LBA-based hacks on your Dreamcast game boot-files. This version of the pack is compatible under every known Windows environements, including Windows 7 x64.
Kakuzawa-Shenmue_2X_Modified_Maps.7z;Shenmue 2X Modified Maps;2012-02-07;http://www.shenmuedojo.net/forum/viewtopic.php?f=37&t=44271;Kakuzawa;This package made by Kakuzawa contains some hacked maps for Shenmue 2X.
snd2wav.zip;SND2WAV;?;;FamilyGuy;This package was done to decode Shenmue II SND files to RIFF Wave files.
tilemolester-0.16-full.7z;Tile Molester;0.16;;SnowBro;Tile Molester is the next generation of tile editors. It has compatibility for many systems. It requires at least version 1.4.2 of J2SE. Source code is included.
Universal_AFS_Extractor_v1.0_by_SWAT.7z;Universal AFS Extractor;1.0;http://www.dc-swat.net.ru/;SWAT;Extract files from AFS.
Universal_PVR_Extractor_v1.3.7_by_SWAT.7z;Universal PVR Extractor;1.3.7;http://www.dc-swat.net.ru/;SWAT;Extract every PVR from generic game datas.
vmuexplorer-1.0.0.7z;VMU Explorer;1.0.0;http://blueswirl.shorturl.com/;Speud;This program allows you to open VMU dumps made with <a target='_blank' href='http://bswirl.kitsunet.org/vmutool/release/about/'>VMU Tool - Dream Explorer</a> (.VMU, .DCM) or a <strong>Dreamcast Emulator</strong> (VMS.BIN). It supports raw VMU dumps as well as Nexus cards dumps.
vmutoolpc-1.0-noinstall.7z;VMU TOOL PC;1.0;http://sbibuilder.shorturl.com/;SiZiOUS;<strong>VMU TOOL PC</strong> is a cool Windows-Like explorer which allows you to manage <strong>Dreamcast</strong>'s saves on your PC.
