"Question";"Answer"
"What's the goal of this project ?";"The main goal of this project is to provide tools allowing you translating every Shenmue episode (including <em>What's Shenmue</em>, <em>Shenmue I</em> and <em>Shenmue II</em>) in another language."
"OK... But I don't understand very well. Shenmue is already available in &lt;put your language here&gt; ... right ?";"Sorry, but it's false. Whatever the Shenmue version you have, PAL or NTSC-U, the in-game subtitles are <strong>always</strong> in English, even if you set the in-game language. Some text are translated (including title menu or game options) but the whole game itself is globally in English. The Japanese version, on the other side, contains both Japanese and English subtitles (<em>US Shenmue</em>) or only Japanese subtitles."
"Cool!! I can now play &lt;put your favorite Shenmue episode here&gt; in &lt;put your language here&gt; !";"True and false. Yes you have the <strong>possibility</strong> to translate the game with the tool pack provided here. But you can't download here any finished translation made with these tool."
"What I need to run this in &lt;put your language here&gt; ?";"For the Dreamcast versions, you only need blank CD-R. Dreamcast can read any CD-R without modifications. For the Xbox, you will need a modchip or a softmod installed on your hard drive. Please don't ask here how to run non-genuine software."
"Stop boring me! Where can I get the translation of &lt;put your favorite Shenmue episode here&gt; in &lt;put your language here&gt; ?";"<strong>I don't know!</strong> You only can download the <strong>tools</strong> to <strong>create</strong> a translation. Not the translation itself!"
"OK I understood and I want to start the translation of &lt;put your favorite Shenmue episode here&gt; in &lt;put your language here&gt;. What is the next step?";"OK, first, you must have a full game rip of the episode you want to translate. Don't ask us for this. Then download the tools package by clicking <a href='../download/'>here</a>. Once the tools are saved in your hard disk, read the <a href='../howto/'>tutorial</a>."
"I successfully finished the translation of &lt;put your favorite Shenmue episode here&gt; in &lt;put your language here&gt;. Can you post a link to my project website containing my hard work?";"Of course yes! Every translation project are very appreciated and we will very proud to post a link to your website in our <a href='../links/'>Links</a> page!"
"I'm the project manager of the translation in &lt;put your language here&gt;. I have finished the work. How should distribute my work?";"I suggesting you to use file-patcher system like the <a href='http://cinnamonpirate.com/pub/software/ninja/' target='_blank'>Ninja Patcher</a>. Please don't distribute already patched images, as they contains license copyright protected files."
"I found a bug in &lt;put the tool here&gt;. What can I do ?";"Feel free to send a <a href='../about/#contact'>mail</a>!"
"What is the cost of the tools pack?";"Huh?"
"What is the license of this tools pack?";"Every tool are under the GPL license."
"I can help you! I want to contribute to this cool project!";"You can! Please send us a <a href='../about/#contact'>mail</a>!"
"Your english suck too much!";"I know! This FAQ was written by <a target='blank' href='http://sbibuilder.shorturl.com/'>SiZiOUS</a> ... And you know what? <em>All your base are belong to us. For great justice !</em>"
