# Shenmue I Series Chars List
# List created by Dark_Neo
#
# Update by Ryo Suzuki and IlDucci
# Last Update: January, 30 2010

168,"ä"
178,"Ä"
197,"â"
210,"Â"
220,"á"
209,"À"
196,"à"
219,"Á"
203,"ï"
214,"Ï"
202,"î"
173,"Î"
221,"í"
166,"Í"
200,"ë"
172,"Ë"
201,"ê"
213,"Ê"
198,"é"
211,"É"
199,"è"
212,"È"
169,"ö"
179,"Ö"
204,"ô"
174,"Ô"
130,"ó"
129,"Ó"
170,"ü"
180,"Ü"
205,"û"
215,"Û"
206,"ù"
216,"Ù"
131,"Ú"
132,"ú"
207,"ç"
217,"Ç"
167,"ñ"
177,"Ñ"
181,"ß"
134,"¿"
133,"¡"
