# Shenmue Series NPC Infos
#
# List created by Shendream and [big_fury]SiZiOUS
# Last update the March 25th, 2010.
#
# GameVersion: SM1 = Shenmue I, WSM: What's Shenmue, SM2: Shenmue II
# Gender: M = Male, F = Female
# Type: A = Adult, C = Child

# This is the header
GameVersion;CharID;Gender;Type

# What's Shenmue (JAP) (DC)
WSM;AKMI;U;U
# todo...

# Shenmue I (JAP/USA/PAL) (DC)
SM1;AKMI;F;A
SM1;AKSK;M;A
SM1;AKTG;M;A
SM1;AOKI;M;A
SM1;ARAI;M;A
SM1;ASDA;F;A
SM1;ASNO;M;A
SM1;ASOU;M;A
SM1;ATSI;M;A
SM1;BIKA;M;A
SM1;BIKB;M;A
SM1;BOB_;M;A
SM1;BREN;M;A
SM1;BSJM;M;A
SM1;BUS2;M;A
SM1;BUSS;M;A
SM1;BUS_;M;A
SM1;CHAI;M;A
SM1;CHRL;M;A
SM1;CMAL;M;A
SM1;DICK;M;A
SM1;DJUN;M;A
SM1;DOOR;U;U
SM1;DORG;M;A
SM1;ECHO;M;A
SM1;EDST;F;A
SM1;EIKK;F;A
SM1;ENDO;M;A
SM1;ENKI;M;A
SM1;ETKO;F;A
SM1;FKSM;F;A
SM1;FLD1;M;A
SM1;FLD2;M;A
SM1;FLD3;M;A
SM1;FLD4;M;A
SM1;FLD5;M;A
SM1;FLD6;M;A
SM1;FLD7;M;A
SM1;FLD8;M;A
SM1;FLD9;M;A
SM1;FLDA;M;A
SM1;FLDB;M;A
SM1;FLDC;M;A
SM1;FLDD;M;A
SM1;FLDE;M;A
SM1;FLDF;M;A
SM1;FLDG;M;A
SM1;FUK2;M;A
SM1;FUKU;M;A
SM1;GJBF;F;A
SM1;GJBM;M;A
SM1;GJHF;F;A
SM1;GJHM;M;A
SM1;GORO;M;A
SM1;GRKN;M;A
SM1;HANA;M;A
SM1;HARY;M;A
SM1;HATO;M;A
SM1;HATR;M;A
SM1;HDEI;M;A
SM1;HIDE;M;C
SM1;HINA;F;A
SM1;HIRA;F;A
SM1;HIRI;M;A
SM1;HISA;F;A
SM1;HMRO;M;A
SM1;HOND;M;A
SM1;HORS;M;A
SM1;HREO;F;A
SM1;HRKO;M;A
SM1;HRNO;F;A
SM1;HROT;F;A
SM1;HRSK;F;A
SM1;HTNK;M;A
SM1;HTSI;M;A
SM1;HTSK;M;A
SM1;INE_;F;A
SM1;IRIE;F;A
SM1;ISDA;M;A
SM1;ISYM;F;A
SM1;ITOH;M;A
SM1;ITOI;M;A
SM1;IWAO;M;A
SM1;IZAW;F;A
SM1;IZWA;F;A
SM1;JAKR;M;C
SM1;JIMY;M;A
SM1;JOE_;M;A
SM1;JOHN;M;A
SM1;JONO;M;A
